total_bill,tip,sex,smoker,day,time,size,time_encoded_mean,time_encoded_median,time_rank_encoded,time_frequency_encoded
7.51,2.0,Male,No,Thur,Lunch,2,0,0,0,68
14.07,2.5,Male,No,Sun,Dinner,2,1,1,1,176
13.13,2.0,Male,No,Sun,Dinner,2,1,1,1,176
17.26,2.74,Male,No,Sun,Dinner,3,1,1,1,176
24.55,2.0,Male,No,Sun,Dinner,4,1,1,1,176
19.77,2.0,Male,No,Sun,Dinner,4,1,1,1,176
29.85,5.14,Female,No,Sun,Dinner,5,1,1,1,176
48.17,5.0,Male,No,Sun,Dinner,6,1,1,1,176
25.0,3.75,Female,No,Sun,Dinner,4,1,1,1,176
13.39,2.61,Female,No,Sun,Dinner,2,1,1,1,176
16.49,2.0,Male,No,Sun,Dinner,4,1,1,1,176
21.5,3.5,Male,No,Sun,Dinner,4,1,1,1,176
12.66,2.5,Male,No,Sun,Dinner,2,1,1,1,176
16.21,2.0,Female,No,Sun,Dinner,3,1,1,1,176
13.81,2.0,Male,No,Sun,Dinner,2,1,1,1,176
17.51,3.0,Female,Yes,Sun,Dinner,2,1,1,1,176
24.52,3.48,Male,No,Sun,Dinner,3,1,1,1,176
20.76,2.24,Male,No,Sun,Dinner,2,1,1,1,176
31.71,4.5,Male,No,Sun,Dinner,4,1,1,1,176
10.59,1.61,Female,Yes,Sat,Dinner,2,1,1,1,176
10.63,2.0,Female,Yes,Sat,Dinner,2,1,1,1,176
50.81,10.0,Male,Yes,Sat,Dinner,3,1,1,1,176
15.81,3.16,Male,Yes,Sat,Dinner,2,1,1,1,176
7.25,5.15,Male,Yes,Sun,Dinner,2,1,1,1,176
31.85,3.18,Male,Yes,Sun,Dinner,2,1,1,1,176
16.82,4.0,Male,Yes,Sun,Dinner,2,1,1,1,176
32.9,3.11,Male,Yes,Sun,Dinner,2,1,1,1,176
17.89,2.0,Male,Yes,Sun,Dinner,2,1,1,1,176
14.48,2.0,Male,Yes,Sun,Dinner,2,1,1,1,176
9.6,4.0,Female,Yes,Sun,Dinner,2,1,1,1,176
34.63,3.55,Male,Yes,Sun,Dinner,2,1,1,1,176
34.65,3.68,Male,Yes,Sun,Dinner,4,1,1,1,176
23.33,5.65,Male,Yes,Sun,Dinner,2,1,1,1,176
45.35,3.5,Male,Yes,Sun,Dinner,3,1,1,1,176
23.17,6.5,Male,Yes,Sun,Dinner,4,1,1,1,176
40.55,3.0,Male,Yes,Sun,Dinner,2,1,1,1,176
20.69,5.0,Male,No,Sun,Dinner,5,1,1,1,176
20.9,3.5,Female,Yes,Sun,Dinner,3,1,1,1,176
30.46,2.0,Male,Yes,Sun,Dinner,5,1,1,1,176
18.15,3.5,Female,Yes,Sun,Dinner,3,1,1,1,176
23.1,4.0,Male,Yes,Sun,Dinner,3,1,1,1,176
15.69,1.5,Male,Yes,Sun,Dinner,2,1,1,1,176
19.81,4.19,Female,Yes,Thur,Lunch,2,0,0,0,68
28.44,2.56,Male,Yes,Thur,Lunch,2,0,0,0,68
15.48,2.02,Male,Yes,Thur,Lunch,2,0,0,0,68
16.58,4.0,Male,Yes,Thur,Lunch,2,0,0,0,68
7.56,1.44,Male,No,Thur,Lunch,2,0,0,0,68
10.34,2.0,Male,Yes,Thur,Lunch,2,0,0,0,68
43.11,5.0,Female,Yes,Thur,Lunch,4,0,0,0,68
13.0,2.0,Female,Yes,Thur,Lunch,2,0,0,0,68
13.51,2.0,Male,Yes,Thur,Lunch,2,0,0,0,68
18.71,4.0,Male,Yes,Thur,Lunch,3,0,0,0,68
12.74,2.01,Female,Yes,Thur,Lunch,2,0,0,0,68
13.0,2.0,Female,Yes,Thur,Lunch,2,0,0,0,68
16.4,2.5,Female,Yes,Thur,Lunch,2,0,0,0,68
20.53,4.0,Male,Yes,Thur,Lunch,4,0,0,0,68
16.47,3.23,Female,Yes,Thur,Lunch,3,0,0,0,68
26.59,3.41,Male,Yes,Sat,Dinner,3,1,1,1,176
38.73,3.0,Male,Yes,Sat,Dinner,4,1,1,1,176
24.27,2.03,Male,Yes,Sat,Dinner,2,1,1,1,176
12.76,2.23,Female,Yes,Sat,Dinner,2,1,1,1,176
30.06,2.0,Male,Yes,Sat,Dinner,3,1,1,1,176
25.89,5.16,Male,Yes,Sat,Dinner,4,1,1,1,176
48.33,9.0,Male,No,Sat,Dinner,4,1,1,1,176
13.27,2.5,Female,Yes,Sat,Dinner,2,1,1,1,176
28.17,6.5,Female,Yes,Sat,Dinner,3,1,1,1,176
12.9,1.1,Female,Yes,Sat,Dinner,2,1,1,1,176
28.15,3.0,Male,Yes,Sat,Dinner,5,1,1,1,176
11.59,1.5,Male,Yes,Sat,Dinner,2,1,1,1,176
7.74,1.44,Male,Yes,Sat,Dinner,2,1,1,1,176
30.14,3.09,Female,Yes,Sat,Dinner,4,1,1,1,176
12.16,2.2,Male,Yes,Fri,Lunch,2,0,0,0,68
13.42,3.48,Female,Yes,Fri,Lunch,2,0,0,0,68
8.58,1.92,Male,Yes,Fri,Lunch,1,0,0,0,68
15.98,3.0,Female,No,Fri,Lunch,3,0,0,0,68
13.42,1.58,Male,Yes,Fri,Lunch,2,0,0,0,68
16.27,2.5,Female,Yes,Fri,Lunch,2,0,0,0,68
10.09,2.0,Female,Yes,Fri,Lunch,2,0,0,0,68
20.45,3.0,Male,No,Sat,Dinner,4,1,1,1,176
13.28,2.72,Male,No,Sat,Dinner,2,1,1,1,176
22.12,2.88,Female,Yes,Sat,Dinner,2,1,1,1,176
24.01,2.0,Male,Yes,Sat,Dinner,4,1,1,1,176
15.69,3.0,Male,Yes,Sat,Dinner,3,1,1,1,176
11.61,3.39,Male,No,Sat,Dinner,2,1,1,1,176
10.77,1.47,Male,No,Sat,Dinner,2,1,1,1,176
15.53,3.0,Male,Yes,Sat,Dinner,2,1,1,1,176
10.07,1.25,Male,No,Sat,Dinner,2,1,1,1,176
12.6,1.0,Male,Yes,Sat,Dinner,2,1,1,1,176
32.83,1.17,Male,Yes,Sat,Dinner,2,1,1,1,176
35.83,4.67,Female,No,Sat,Dinner,3,1,1,1,176
29.03,5.92,Male,No,Sat,Dinner,3,1,1,1,176
27.18,2.0,Female,Yes,Sat,Dinner,2,1,1,1,176
22.67,2.0,Male,Yes,Sat,Dinner,2,1,1,1,176
17.82,1.75,Male,No,Sat,Dinner,2,1,1,1,176
18.78,3.0,Female,No,Thur,Dinner,2,1,1,1,176
