ProdTaken,Age,TypeofContact,CityTier,DurationOfPitch,Occupation,Gender,NumberOfFollowups,ProductPitched,PreferredPropertyStar,MaritalStatus,NumberOfTrips,Passport,PitchSatisfactionScore,OwnCar,Designation,MonthlyIncome,TotalVisiting
1,36.0,Self Enquiry,3,15.0,Salaried,Male,4.0,Deluxe,5.0,Unmarried,1.0,0,2,0,Manager,18407.0,2.0
0,34.0,Self Enquiry,1,13.0,Salaried,Female,3.0,Standard,4.0,Unmarried,1.0,0,3,1,Senior Manager,26994.0,2.0
0,21.0,Self Enquiry,1,21.0,Salaried,Male,3.0,Basic,3.0,Unmarried,2.0,0,3,1,Executive,16232.0,4.0
1,34.0,Self Enquiry,1,12.0,Small Business,Male,3.0,Basic,5.0,Unmarried,3.0,0,2,1,Executive,17960.0,3.0
0,53.0,Self Enquiry,1,11.0,Salaried,Female,3.0,King,3.0,Married,5.0,0,5,0,VP,34094.0,3.0
1,36.0,Company Invited,1,22.0,Salaried,Female,5.0,Basic,5.0,Unmarried,2.0,1,4,1,Executive,22347.0,5.0
0,42.0,Self Enquiry,3,14.0,Small Business,Male,3.0,Deluxe,4.0,Divorced,1.0,0,3,0,Manager,21825.0,3.0
0,44.0,Self Enquiry,1,13.0,Small Business,Female,4.0,Standard,3.0,Divorced,4.0,0,4,1,Senior Manager,25248.0,2.0
0,46.0,Self Enquiry,3,8.0,Small Business,Female,3.0,King,5.0,Unmarried,4.0,0,2,0,VP,33947.0,3.0
0,33.0,Self Enquiry,1,8.0,Small Business,Male,3.0,Basic,3.0,Unmarried,5.0,0,3,1,Executive,17496.0,5.0
0,44.0,Self Enquiry,1,16.0,Salaried,Male,3.0,Deluxe,3.0,Divorced,3.0,1,3,1,Manager,21465.0,3.0
0,30.0,Self Enquiry,1,15.0,Small Business,Male,4.0,Basic,3.0,Unmarried,2.0,0,4,1,Executive,17206.0,3.0
1,39.0,Self Enquiry,3,11.0,Large Business,Male,3.0,Deluxe,3.0,Divorced,4.0,0,2,0,Manager,17086.0,3.0
1,24.0,Self Enquiry,1,6.0,Small Business,Male,3.0,Basic,3.0,Divorced,3.0,1,3,1,Executive,17293.0,5.0
0,43.0,Self Enquiry,1,8.0,Small Business,Female,2.0,Basic,3.0,Married,2.0,0,2,0,Executive,17645.0,4.0
1,50.0,Self Enquiry,3,9.0,Small Business,Male,4.0,Basic,3.0,Divorced,2.0,1,4,0,Executive,17683.0,2.0
0,35.0,Self Enquiry,3,8.0,Small Business,Female,3.0,Basic,3.0,Divorced,2.0,0,2,1,Executive,17014.0,3.0
0,36.0,Self Enquiry,1,11.0,Salaried,Female,4.0,Basic,3.0,Divorced,1.0,1,2,1,Executive,95000.0,2.0
0,33.0,Company Invited,3,6.0,Salaried,Female,2.0,Deluxe,5.0,Divorced,3.0,0,3,1,Manager,20376.0,2.0
0,35.0,Self Enquiry,1,10.0,Salaried,Male,3.0,Basic,3.0,Married,2.0,0,4,0,Executive,16951.0,3.0
0,27.0,Self Enquiry,1,8.0,Salaried,Female,3.0,Basic,5.0,Married,2.0,0,3,0,Executive,17341.0,3.0
1,26.0,Self Enquiry,1,31.0,Salaried,Male,5.0,Basic,3.0,Unmarried,2.0,0,2,1,Executive,17293.0,3.0
0,27.0,Company Invited,3,14.0,Salaried,Male,3.0,Standard,3.0,Unmarried,2.0,0,2,1,Senior Manager,23726.0,2.0
0,36.0,Company Invited,1,6.0,Small Business,Female,3.0,Deluxe,3.0,Unmarried,2.0,0,3,1,Manager,22347.0,2.0
1,41.0,Self Enquiry,1,18.0,Large Business,Female,3.0,King,3.0,Divorced,2.0,0,4,1,VP,34545.0,2.0
0,34.0,Company Invited,3,13.0,Small Business,Male,3.0,Deluxe,3.0,Unmarried,1.0,0,5,1,Manager,19568.0,4.0
0,37.0,Self Enquiry,1,25.0,Salaried,Male,3.0,Basic,4.0,Divorced,5.0,0,4,1,Executive,18022.0,4.0
0,46.0,Company Invited,3,11.0,Small Business,Male,3.0,Deluxe,3.0,Unmarried,5.0,1,5,1,Manager,20772.0,4.0
0,35.0,Self Enquiry,1,14.0,Salaried,Male,2.0,Basic,3.0,Divorced,2.0,0,5,1,Executive,17269.0,3.0
1,48.0,Self Enquiry,1,6.0,Salaried,Male,4.0,Standard,3.0,Unmarried,1.0,1,5,0,Senior Manager,20381.0,5.0
1,36.0,Self Enquiry,1,11.0,Large Business,Male,3.0,Basic,3.0,Unmarried,2.0,1,2,1,Executive,18441.0,2.0
0,44.0,Self Enquiry,3,6.0,Small Business,Female,3.0,Deluxe,5.0,Married,6.0,1,2,0,Manager,20454.0,3.0
0,35.0,Company Invited,1,17.0,Small Business,Male,4.0,Standard,5.0,Divorced,3.0,1,5,1,Senior Manager,24884.0,4.0
0,36.0,Self Enquiry,3,29.0,Small Business,Female,4.0,Deluxe,3.0,Divorced,1.0,1,2,1,Manager,22347.0,2.0
0,33.0,Company Invited,1,6.0,Salaried,Female,3.0,Standard,3.0,Unmarried,2.0,1,2,1,Senior Manager,28458.0,3.0
0,35.0,Company Invited,3,24.0,Salaried,Male,3.0,Standard,5.0,Divorced,2.0,0,4,1,Senior Manager,24069.0,3.0
0,36.0,Self Enquiry,1,29.0,Small Business,Female,3.0,Basic,5.0,Divorced,4.0,1,4,1,Executive,22347.0,1.0
0,31.0,Self Enquiry,1,13.0,Salaried,Male,3.0,Deluxe,3.0,Married,4.0,0,3,1,Manager,20915.0,2.0
0,37.0,Self Enquiry,1,6.0,Salaried,Male,4.0,Deluxe,3.0,Married,2.0,0,5,1,Manager,20993.0,3.0
0,32.0,Self Enquiry,1,6.0,Small Business,Male,3.0,Deluxe,3.0,Divorced,2.0,1,4,1,Manager,21162.0,2.0
0,38.0,Company Invited,1,35.0,Salaried,Female,3.0,Deluxe,3.0,Unmarried,2.0,0,3,1,Manager,17406.0,2.0
0,50.0,Self Enquiry,1,13.0,Small Business,Female,4.0,King,3.0,Married,6.0,1,4,1,VP,33740.0,3.0
0,59.0,Self Enquiry,3,31.0,Salaried,Female,3.0,Standard,5.0,Unmarried,1.0,0,3,1,Senior Manager,22637.0,2.0
0,36.0,Self Enquiry,1,14.0,Large Business,Female,3.0,Standard,3.0,Married,2.0,0,4,1,Senior Manager,25096.0,3.0
0,55.0,Self Enquiry,1,14.0,Small Business,Female,3.0,Super Deluxe,3.0,Married,3.0,1,3,0,AVP,29756.0,3.0
0,36.0,Company Invited,1,17.0,Salaried,Male,4.0,Deluxe,4.0,Unmarried,2.0,0,4,1,Manager,21499.0,4.0
0,45.0,Self Enquiry,1,13.0,Salaried,Male,3.0,Standard,5.0,Married,3.0,0,3,1,Senior Manager,24724.0,3.0
0,35.0,Company Invited,1,6.0,Small Business,Male,3.0,Basic,5.0,Divorced,5.0,0,2,0,Executive,17194.0,4.0
1,36.0,Self Enquiry,1,15.0,Small Business,Male,4.0,Basic,3.0,Divorced,1.0,1,2,0,Executive,18388.0,4.0
0,59.0,Company Invited,3,6.0,Salaried,Female,4.0,Deluxe,3.0,Unmarried,1.0,0,5,1,Manager,20473.0,3.0
0,29.0,Self Enquiry,1,8.0,Salaried,Male,3.0,Basic,4.0,Divorced,1.0,0,4,0,Executive,17703.0,3.0
0,31.0,Self Enquiry,1,6.0,Small Business,Male,3.0,Basic,4.0,Unmarried,2.0,0,3,0,Executive,17501.0,2.0
0,32.0,Self Enquiry,1,6.0,Salaried,Male,3.0,Deluxe,4.0,Divorced,2.0,0,3,0,Manager,21220.0,3.0
0,36.0,Self Enquiry,1,12.0,Salaried,Female,2.0,Deluxe,3.0,Divorced,4.0,0,2,0,Manager,18038.0,2.0
0,31.0,Self Enquiry,1,13.0,Salaried,Female,3.0,Deluxe,3.0,Unmarried,2.0,0,5,0,Manager,22347.0,4.0
0,35.0,Self Enquiry,3,13.0,Small Business,Male,4.0,Deluxe,5.0,Unmarried,1.0,0,2,0,Manager,22347.0,3.0
0,45.0,Self Enquiry,1,12.0,Salaried,Male,3.0,Standard,5.0,Divorced,5.0,1,3,0,Senior Manager,28245.0,2.0
0,37.0,Self Enquiry,1,13.0,Small Business,Male,3.0,Standard,3.0,Unmarried,5.0,0,2,0,Senior Manager,28664.0,1.0
0,46.0,Self Enquiry,2,11.0,Small Business,Male,4.0,Deluxe,4.0,Married,1.0,1,5,0,Manager,20021.0,4.0
0,30.0,Self Enquiry,1,6.0,Salaried,Male,4.0,Deluxe,3.0,Divorced,2.0,1,2,1,Manager,20126.0,3.0
0,35.0,Self Enquiry,1,6.0,Small Business,Male,4.0,Basic,3.0,Unmarried,2.0,0,4,1,Executive,17859.0,1.0
0,55.0,Self Enquiry,3,6.0,Salaried,Male,3.0,Standard,3.0,Divorced,4.0,0,2,0,Senior Manager,25239.0,4.0
0,38.0,Company Invited,1,12.0,Small Business,Female,5.0,Deluxe,3.0,Married,1.0,1,2,0,Manager,20329.0,5.0
0,34.0,Self Enquiry,1,13.0,Small Business,Male,3.0,Deluxe,4.0,Divorced,2.0,0,5,0,Manager,22347.0,3.0
0,56.0,Self Enquiry,1,13.0,Salaried,Male,5.0,Standard,3.0,Unmarried,5.0,0,2,0,Senior Manager,22260.0,2.0
0,23.0,Self Enquiry,3,8.0,Large Business,Male,3.0,Basic,5.0,Married,4.0,0,3,1,Executive,17322.0,4.0
0,51.0,Self Enquiry,1,15.0,Salaried,Male,3.0,Basic,3.0,Divorced,4.0,0,3,1,Executive,17075.0,3.0
0,36.0,Self Enquiry,1,8.0,Salaried,Male,4.0,Deluxe,3.0,Divorced,2.0,0,4,1,Manager,22347.0,2.0
1,46.0,Self Enquiry,3,15.0,Small Business,Male,4.0,Standard,3.0,Unmarried,2.0,0,5,0,Senior Manager,24619.0,4.0
0,40.0,Company Invited,1,6.0,Salaried,Male,4.0,Super Deluxe,4.0,Divorced,2.0,0,2,1,AVP,28503.0,5.0
0,51.0,Self Enquiry,3,27.0,Small Business,Male,3.0,Deluxe,3.0,Unmarried,1.0,1,5,1,Manager,20441.0,4.0
0,30.0,Self Enquiry,3,10.0,Small Business,Female,4.0,Deluxe,4.0,Married,2.0,1,3,1,Manager,20209.0,4.0
0,46.0,Company Invited,1,6.0,Small Business,Male,4.0,Standard,5.0,Divorced,3.0,1,2,1,Senior Manager,25673.0,3.0
0,32.0,Self Enquiry,3,12.0,Small Business,Male,4.0,Deluxe,3.0,Unmarried,2.0,0,5,1,Manager,20010.0,2.0
0,54.0,Self Enquiry,1,8.0,Large Business,Female,3.0,Standard,3.0,Divorced,1.0,0,4,1,Senior Manager,28549.0,2.0
0,24.0,Self Enquiry,3,9.0,Salaried,Female,4.0,Deluxe,3.0,Divorced,1.0,0,4,1,Manager,19999.0,2.0
0,36.0,Company Invited,3,10.0,Small Business,Male,3.0,Deluxe,3.0,Divorced,2.0,0,2,1,Manager,22347.0,2.0
0,58.0,Self Enquiry,3,16.0,Small Business,Male,3.0,Super Deluxe,3.0,Unmarried,1.0,0,3,1,AVP,28872.0,3.0
0,44.0,Company Invited,1,29.0,Small Business,Male,3.0,Deluxe,4.0,Divorced,5.0,0,3,1,Manager,17042.0,3.0
1,37.0,Self Enquiry,2,12.0,Salaried,Male,3.0,Basic,5.0,Married,5.0,1,2,1,Executive,17073.0,3.0
0,32.0,Self Enquiry,1,6.0,Salaried,Male,3.0,Basic,5.0,Unmarried,2.0,0,2,0,Executive,17956.0,5.0
1,20.0,Company Invited,1,12.0,Salaried,Female,4.0,Basic,3.0,Unmarried,2.0,1,2,1,Executive,17926.0,4.0
0,34.0,Self Enquiry,1,13.0,Salaried,Female,3.0,Deluxe,3.0,Unmarried,2.0,0,3,1,Manager,19809.0,2.0
0,37.0,Company Invited,1,8.0,Salaried,Male,4.0,Deluxe,3.0,Married,6.0,0,2,0,Manager,20163.0,4.0
0,59.0,Company Invited,2,8.0,Salaried,Female,4.0,King,3.0,Divorced,1.0,0,2,1,VP,33844.0,3.0
0,50.0,Company Invited,1,6.0,Salaried,Female,3.0,King,4.0,Divorced,4.0,1,2,0,VP,33172.0,5.0
1,25.0,Self Enquiry,3,11.0,Small Business,Male,4.0,Deluxe,3.0,Unmarried,2.0,1,3,1,Manager,20744.0,2.0
0,25.0,Self Enquiry,1,13.0,Small Business,Male,4.0,Basic,3.0,Divorced,2.0,0,2,1,Executive,17889.0,5.0
0,22.0,Self Enquiry,1,21.0,Small Business,Female,3.0,Basic,3.0,Unmarried,2.0,0,2,1,Executive,17871.0,3.0
0,51.0,Company Invited,1,6.0,Small Business,Female,4.0,Standard,5.0,Unmarried,4.0,0,2,1,Senior Manager,22484.0,1.0
1,34.0,Company Invited,1,13.0,Salaried,Male,5.0,Deluxe,3.0,Unmarried,2.0,1,5,1,Manager,21074.0,4.0
0,54.0,Company Invited,2,32.0,Salaried,Female,2.0,Super Deluxe,3.0,Unmarried,3.0,1,3,1,AVP,32328.0,1.0
0,24.0,Self Enquiry,1,24.0,Salaried,Male,3.0,Basic,3.0,Divorced,1.0,0,4,1,Executive,17774.0,2.0
0,34.0,Self Enquiry,1,13.0,Salaried,Female,4.0,Deluxe,4.0,Married,7.0,0,3,0,Manager,19505.0,3.0
0,37.0,Self Enquiry,3,9.0,Salaried,Male,3.0,Standard,3.0,Unmarried,3.0,0,3,0,Senior Manager,22428.0,2.0
0,34.0,Self Enquiry,1,11.0,Small Business,Female,4.0,Standard,5.0,Unmarried,3.0,0,2,0,Senior Manager,26631.0,2.0
0,36.0,Company Invited,3,17.0,Large Business,Female,3.0,Standard,3.0,Divorced,1.0,0,5,0,Senior Manager,24738.0,3.0
0,36.0,Self Enquiry,1,9.0,Salaried,Female,3.0,Basic,3.0,Married,6.0,0,2,1,Executive,17835.0,2.0
0,43.0,Company Invited,3,32.0,Salaried,Male,3.0,Super Deluxe,3.0,Divorced,2.0,1,2,0,AVP,31959.0,3.0
0,30.0,Company Invited,1,29.0,Salaried,Male,5.0,Basic,3.0,Married,2.0,0,3,1,Executive,17613.0,5.0
0,33.0,Company Invited,3,28.0,Small Business,Male,3.0,Deluxe,4.0,Divorced,1.0,0,2,0,Manager,21146.0,4.0
1,56.0,Self Enquiry,1,20.0,Salaried,Female,4.0,Basic,4.0,Divorced,1.0,1,5,1,Executive,19963.0,4.0
0,51.0,Self Enquiry,1,12.0,Salaried,Male,3.0,King,3.0,Unmarried,1.0,0,5,1,VP,34537.0,2.0
1,31.0,Self Enquiry,3,12.0,Salaried,Male,5.0,Deluxe,3.0,Divorced,5.0,1,3,1,Manager,21172.0,4.0
0,26.0,Self Enquiry,1,12.0,Salaried,Female,4.0,Basic,4.0,Divorced,2.0,0,3,1,Executive,17368.0,2.0
1,58.0,Self Enquiry,1,29.0,Small Business,Female,3.0,Standard,3.0,Divorced,2.0,0,3,1,Senior Manager,25312.0,3.0
1,19.0,Self Enquiry,3,28.0,Small Business,Male,3.0,Basic,3.0,Unmarried,2.0,1,2,0,Executive,16675.0,3.0
0,22.0,Self Enquiry,1,8.0,Large Business,Male,3.0,Basic,3.0,Divorced,1.0,0,5,1,Executive,17523.0,5.0
0,49.0,Self Enquiry,1,26.0,Small Business,Female,3.0,Deluxe,5.0,Divorced,2.0,0,2,1,Manager,21567.0,5.0
0,43.0,Company Invited,1,13.0,Small Business,Female,2.0,Basic,3.0,Unmarried,5.0,0,3,0,Executive,19739.0,5.0
0,50.0,Company Invited,3,18.0,Small Business,Female,3.0,Standard,3.0,Unmarried,5.0,0,5,0,Senior Manager,24208.0,3.0
1,31.0,Self Enquiry,3,13.0,Salaried,Female,5.0,Deluxe,3.0,Divorced,4.0,1,3,1,Manager,19559.0,3.0
0,41.0,Self Enquiry,3,15.0,Salaried,Male,3.0,Standard,3.0,Married,4.0,1,2,0,Senior Manager,23189.0,4.0
0,26.0,Self Enquiry,2,31.0,Salaried,Female,3.0,Basic,3.0,Divorced,2.0,0,4,1,Executive,17942.0,3.0
0,36.0,Self Enquiry,1,12.0,Small Business,Male,4.0,Deluxe,4.0,Married,7.0,0,4,1,Manager,19941.0,3.0
1,51.0,Company Invited,1,14.0,Salaried,Male,5.0,Standard,3.0,Unmarried,3.0,0,2,0,Senior Manager,25650.0,3.0
0,39.0,Self Enquiry,3,10.0,Salaried,Female,4.0,Deluxe,3.0,Divorced,5.0,0,5,1,Manager,20902.0,2.0
0,25.0,Self Enquiry,3,34.0,Salaried,Male,4.0,Deluxe,3.0,Divorced,3.0,0,4,0,Manager,23639.0,2.0
0,30.0,Self Enquiry,2,15.0,Salaried,Male,3.0,Deluxe,3.0,Divorced,1.0,1,3,1,Manager,21347.0,3.0
1,36.0,Self Enquiry,1,15.0,Small Business,Female,3.0,Basic,5.0,Unmarried,1.0,0,4,1,Executive,22347.0,3.0
0,36.0,Self Enquiry,1,35.0,Small Business,Male,3.0,Basic,3.0,Unmarried,6.0,0,2,1,Executive,18452.0,2.0
0,38.0,Self Enquiry,1,9.0,Large Business,Female,3.0,Deluxe,3.0,Unmarried,4.0,1,5,0,Manager,1000.0,2.0
0,30.0,Self Enquiry,1,24.0,Salaried,Female,3.0,Basic,3.0,Unmarried,2.0,0,2,1,Executive,17632.0,3.0
0,32.0,Company Invited,3,13.0,Small Business,Male,5.0,Deluxe,3.0,Married,1.0,0,2,0,Manager,19668.0,3.0
0,30.0,Self Enquiry,1,11.0,Large Business,Female,3.0,Basic,5.0,Married,6.0,0,5,1,Executive,18204.0,3.0
0,30.0,Self Enquiry,1,8.0,Small Business,Male,4.0,Basic,3.0,Unmarried,1.0,0,4,0,Executive,17720.0,2.0
0,41.0,Company Invited,1,16.0,Salaried,Male,4.0,Super Deluxe,5.0,Married,5.0,0,2,1,AVP,32181.0,3.0
0,41.0,Self Enquiry,1,15.0,Salaried,Male,3.0,Basic,5.0,Divorced,3.0,0,2,0,Executive,17238.0,5.0
0,19.0,Self Enquiry,1,9.0,Small Business,Female,3.0,Basic,4.0,Unmarried,2.0,0,3,1,Executive,16483.0,5.0
0,40.0,Company Invited,1,32.0,Small Business,Female,3.0,Deluxe,4.0,Married,2.0,0,2,1,Manager,20605.0,2.0
0,35.0,Self Enquiry,3,6.0,Small Business,Male,3.0,Standard,4.0,Divorced,2.0,0,4,1,Senior Manager,22295.0,5.0
0,53.0,Self Enquiry,3,12.0,Small Business,Male,3.0,Deluxe,3.0,Divorced,3.0,1,5,0,Manager,17306.0,2.0
0,45.0,Self Enquiry,1,15.0,Salaried,Male,3.0,Deluxe,4.0,Married,1.0,0,4,1,Manager,17348.0,2.0
0,32.0,Company Invited,3,14.0,Small Business,Female,3.0,Standard,3.0,Unmarried,2.0,0,4,1,Senior Manager,23998.0,3.0
0,29.0,Company Invited,1,13.0,Large Business,Male,3.0,Deluxe,3.0,Divorced,2.0,0,3,0,Manager,22347.0,3.0
0,51.0,Self Enquiry,1,13.0,Small Business,Male,4.0,Deluxe,3.0,Divorced,3.0,0,3,1,Manager,21132.0,3.0
0,58.0,Self Enquiry,1,15.0,Small Business,Female,4.0,Basic,4.0,Divorced,5.0,1,2,1,Executive,18346.0,3.0
0,40.0,Self Enquiry,3,10.0,Small Business,Male,4.0,Standard,3.0,Divorced,1.0,0,2,1,Senior Manager,25855.0,3.0
0,34.0,Company Invited,3,8.0,Small Business,Female,3.0,Basic,3.0,Divorced,7.0,0,5,1,Executive,17231.0,5.0
0,22.0,Self Enquiry,1,25.0,Small Business,Male,3.0,Basic,3.0,Divorced,2.0,0,2,0,Executive,17323.0,4.0
0,27.0,Company Invited,1,15.0,Small Business,Male,3.0,Basic,4.0,Married,7.0,0,3,0,Executive,17024.0,2.0
0,28.0,Self Enquiry,1,27.0,Small Business,Male,3.0,Basic,3.0,Divorced,2.0,0,2,0,Executive,17713.0,2.0
0,57.0,Self Enquiry,1,30.0,Salaried,Male,2.0,Standard,3.0,Married,4.0,1,4,1,Senior Manager,24439.0,3.0
0,27.0,Company Invited,1,9.0,Small Business,Male,4.0,Basic,3.0,Married,2.0,1,2,0,Executive,17566.0,5.0
0,50.0,Self Enquiry,1,17.0,Salaried,Female,3.0,King,4.0,Unmarried,4.0,0,5,1,VP,34926.0,3.0
0,41.0,Self Enquiry,1,20.0,Salaried,Male,3.0,Basic,3.0,Married,5.0,0,4,1,Executive,17451.0,3.0
0,30.0,Self Enquiry,3,11.0,Salaried,Female,3.0,Standard,3.0,Divorced,3.0,0,4,1,Senior Manager,24419.0,3.0
0,38.0,Self Enquiry,3,6.0,Salaried,Female,4.0,Deluxe,3.0,Unmarried,5.0,0,2,1,Manager,23686.0,3.0
0,32.0,Self Enquiry,1,12.0,Salaried,Male,3.0,Basic,3.0,Unmarried,4.0,0,2,0,Executive,18038.0,3.0
0,27.0,Self Enquiry,1,23.0,Large Business,Male,3.0,Basic,4.0,Divorced,1.0,1,4,1,Executive,18058.0,2.0
1,19.0,Company Invited,3,6.0,Large Business,Female,5.0,Basic,5.0,Unmarried,1.0,0,3,1,Executive,17325.0,4.0
0,36.0,Company Invited,1,9.0,Small Business,Male,3.0,Basic,4.0,Unmarried,5.0,0,4,1,Executive,17088.0,1.0
0,30.0,Company Invited,1,15.0,Small Business,Male,3.0,Deluxe,5.0,Married,2.0,0,2,0,Manager,18072.0,4.0
0,45.0,Self Enquiry,3,10.0,Salaried,Female,4.0,Deluxe,5.0,Married,5.0,1,4,0,Manager,20006.0,1.0
0,56.0,Self Enquiry,1,13.0,Salaried,Female,3.0,Basic,5.0,Married,5.0,1,4,1,Executive,22347.0,4.0
0,33.0,Self Enquiry,1,8.0,Salaried,Male,3.0,Basic,3.0,Unmarried,1.0,0,3,0,Executive,17500.0,3.0
1,19.0,Self Enquiry,1,8.0,Salaried,Male,4.0,Basic,3.0,Unmarried,2.0,0,5,0,Executive,16102.0,2.0
0,46.0,Self Enquiry,3,6.0,Small Business,Female,3.0,Standard,5.0,Married,2.0,0,2,1,Senior Manager,25453.0,4.0
0,38.0,Self Enquiry,1,15.0,Salaried,Female,3.0,Basic,3.0,Unmarried,2.0,0,2,1,Executive,17288.0,4.0
0,36.0,Self Enquiry,1,18.0,Small Business,Female,3.0,Basic,3.0,Divorced,1.0,1,4,1,Executive,22347.0,5.0
0,34.0,Self Enquiry,1,33.0,Small Business,Female,3.0,Basic,4.0,Unmarried,3.0,0,3,1,Executive,17311.0,3.0
1,41.0,Self Enquiry,3,26.0,Small Business,Female,3.0,Basic,4.0,Unmarried,2.0,1,4,0,Executive,18140.0,5.0
0,36.0,Self Enquiry,1,6.0,Small Business,Male,4.0,Basic,3.0,Divorced,3.0,0,3,0,Executive,18690.0,2.0
0,53.0,Self Enquiry,1,13.0,Small Business,Female,2.0,Deluxe,5.0,Married,2.0,0,2,1,Manager,22347.0,3.0
0,33.0,Self Enquiry,1,20.0,Small Business,Female,3.0,Basic,4.0,Divorced,2.0,0,5,0,Executive,17756.0,3.0
0,40.0,Self Enquiry,1,10.0,Small Business,Female,3.0,King,3.0,Divorced,2.0,0,5,0,VP,34033.0,3.0
0,55.0,Self Enquiry,1,20.0,Small Business,Male,2.0,King,4.0,Unmarried,1.0,0,2,0,VP,33722.0,5.0
0,34.0,Company Invited,1,8.0,Salaried,Male,4.0,Deluxe,3.0,Divorced,2.0,0,4,0,Manager,24547.0,2.0
0,51.0,Self Enquiry,1,9.0,Small Business,Female,3.0,Super Deluxe,4.0,Unmarried,4.0,0,5,0,AVP,28734.0,4.0
0,52.0,Self Enquiry,1,6.0,Salaried,Male,4.0,King,3.0,Divorced,1.0,0,2,1,VP,34999.0,4.0
0,27.0,Self Enquiry,1,15.0,Small Business,Female,3.0,Basic,4.0,Unmarried,2.0,0,3,1,Executive,17279.0,2.0
1,35.0,Self Enquiry,1,29.0,Salaried,Male,4.0,Deluxe,3.0,Divorced,4.0,1,4,1,Manager,20916.0,3.0
0,43.0,Company Invited,1,13.0,Small Business,Male,2.0,Basic,3.0,Married,5.0,0,4,0,Executive,17089.0,3.0
0,45.0,Company Invited,1,8.0,Small Business,Male,4.0,Super Deluxe,3.0,Divorced,1.0,0,4,1,AVP,31792.0,3.0
0,36.0,Self Enquiry,1,27.0,Salaried,Male,2.0,Basic,5.0,Divorced,2.0,1,3,0,Executive,18564.0,5.0
0,35.0,Company Invited,1,13.0,Small Business,Female,3.0,Deluxe,4.0,Unmarried,6.0,0,2,1,Manager,22347.0,2.0
0,42.0,Company Invited,1,27.0,Small Business,Female,3.0,Deluxe,3.0,Married,3.0,0,2,0,Manager,20265.0,2.0
0,38.0,Self Enquiry,1,8.0,Salaried,Male,3.0,Deluxe,3.0,Divorced,1.0,0,2,0,Manager,21553.0,3.0
0,38.0,Self Enquiry,1,35.0,Large Business,Male,3.0,Deluxe,3.0,Divorced,4.0,0,2,0,Manager,21261.0,3.0
